Artist,Streams,Tracks,Genres
Justin Bieber,23833962,"STAY (with Justin Bieber), STAY (with Justin Bieber), Peaches (feat. Daniel Caesar & Giveon), Hold On, Anyone, Ghost, Hold On, Anyone, Mistletoe, Holy (feat. Chance The Rapper), As I Am (feat. Khalid), Unstable (feat. The Kid LAROI), Holy (feat. Chance The Rapper), Wandered To LA (with Justin Bieber), Monster (Shawn Mendes & Justin Bieber), Honest (feat. Don Toliver), Don’t Go (with Justin Bieber & Don Toliver), Lonely (with benny blanco), 2 Much, Wandered To LA (with Justin Bieber), Off My Face, Deserve You, Die For You (feat. Dominic Fike), Loved By You (feat. Burna Boy), Love You Different (feat. BEAM), Lonely (with benny blanco), Somebody, I Don't Care (with Justin Bieber), 10,000 Hours (with Justin Bieber), Intentions (feat. Quavo), Stuck with U (with Justin Bieber), Essence (feat. Justin Bieber & Tems), up at night (feat. justin bieber), Love Yourself, Red Eye (feat. TroyBoi), attention","canadian pop, pop"
Adele,17232791,"Easy On Me, Easy On Me, Oh My God, My Little Love, Can I Get It, I Drink Wine, Strangers By Nature, Cry Your Heart Out, To Be Loved, When We Were Young, Hold On, All Night Parking (with Erroll Garner) Interlude, Woman Like Me, Someone Like You, Love Is A Game, Rolling in the Deep, Love In The Dark, Set Fire to the Rain, Send My Love (To Your New Lover), Chasing Pavements, Make You Feel My Love, Hello, All I Ask, Water Under the Bridge, Rumour Has It","british soul, pop, pop soul, uk pop"
Becky G,9443227,"Wow Wow (feat. Becky G), La Loto, MAMIII, MAMIII, Ram Pam Pam, Pa Mis Muchachas (feat. Nathy Peluso), FULANITO, Ram Pam Pam, Mal de Amores","latin pop, latin viral pop, rap latina, reggaeton, urbano latino"
Harry Styles,21902862,"As It Was, As It Was, Late Night Talking, Matilda, Music For a Sushi Restaurant, Little Freak, Daylight, Grapejuice, Satellite, Cinema, Daydreaming, Love Of My Life, Keep Driving, Boyfriends, Watermelon Sugar, Adore You, Golden, Falling, Sign of the Times",pop
Salastkbron,6485111,"TITAN, TITAN, TURROMANTIKO, P rreo",pop argentino
Sebastian Yatra,8769661,"Pareja Del Año, Chica Ideal, Tacones Rojos, Tacones Rojos, Regresé, 3 de La Mañana, Pareja Del Año, Regresé, No Bailes Sola, Delincuente, Oye","colombian pop, latin pop, reggaeton, reggaeton colombiano, urbano latino"
Myke Towers,22787465,"Pareja Del Año, Bandido, Ella No Es Tuya - Remix, Fiel - Remix, La Nota, Explícito, Polvo, ALMAS GEMELAS, La Curiosidad, Mi Niña, La Nota, Travesuras - Remix, Súbelo, Súbelo, Experimento, Pareja Del Año, La Curiosidad (feat. Dj Nelson, Jhay Cortez, Lunay & Kendo Kaponi) - Blue Grand Prix Remix, La Jeepeta - Remix, Tú, 3G (feat. Jon Z, Don Chezina, Chencho Corleone & Myke Towers) - Remix, Dámelo To’ (feat. Myke Towers), PASATIEMPO, SÚBELE EL VOLUMEN, Caramelo - Remix, La Forma en Que Me Miras, Mírame - Remix, EL TREN, Madrid (feat. Myke Towers), Diosa","reggaeton, trap latino, urbano latino"
Juhn,4850791,"Bandido, Ella - Remix, BICI, Ella - Remix, Hola - Remix, Fragancia (with Jay Wheeler)","reggaeton, reggaeton flow, trap latino, urbano latino"
Bomba Estéreo,2646517,Ojitos Lindos,"cumbia, latin alternative, latin rock, pop electronico, tropical alternativo"
Shakira,2925333,"Te Felicito, GIRL LIKE ME","colombian pop, dance pop, latin pop, pop"
